"state","gun_type","notes","n_killed","n_injured"
"New Jersey","Unknown",NA,0,1
"South Carolina","Unknown",NA,0,1
"Texas","Unknown","1 killed. ois Officer Blake Witherspoon killed suspect who was stabbing a man, Jose Isabel Rodriguez.",1,0
"Georgia","22 LR","2 22 cal rifles in trunk of car, 3 other students on drug and alcohol charges",0,0
"South Carolina","Unknown",NA,0,1
"Florida","Handgun","attempt to sell stolen handguns, gave IDs to ofc before fleeing, drugs, cash, 3 stolen handguns seized",0,0
"Texas","Handgun",NA,0,0
"Louisiana","Unknown","1 inj ois Suspect had robbed a patron at a gas station and was confronted by police elsewhere and was shot.;
30.398551, -91.107430 ;",0,1
"Wisconsin","Unknown","unspec gas station, fight with up to 15 people, 1 with gun, drugs, taser",0,0
"New Jersey","Unknown",NA,0,2
"Massachusetts","Unknown","shots fired near bridge, arrest on Camp St 3/2",0,0
"Mississippi","Unknown",NA,1,0
"Kentucky","Unknown",NA,0,1
"Kentucky","Unknown",NA,0,0
"Indiana","Unknown","Couple arrested after warrant search finds 25 lbs marijuana, hallucinogens guns, body armor, 12,000 cash;
37.967590, -87.399089 ;",0,0
"District of Columbia","Unknown","shot in car, nearby school lockdown",1,0
"Georgia","Unknown",NA,0,0
"South Carolina","Unknown",NA,0,0
"Massachusetts","Handgun","Apt 4, drugs, cash, ammo, S&W 40 cal, AK47; alt date 3/2",0,0
"Florida","Unknown","Unclear dates between March and April 2017. Teens traded stolen firearms to Smith for drugs",0,0
"Alabama","Unknown",NA,0,0
"Alabama","Unknown",NA,0,0
"Louisiana","Other","1 inj Shot with Taurus .40 caliber handgun.",0,1
"Massachusetts","Handgun",NA,0,0
"Indiana","Unknown","71 y/o woman's home, car and yard hit by dozens of bullets around midnight; no injury; fired from assault-type weapon;",0,0
"Maryland","Unknown",NA,0,1
"District of Columbia","Unknown","shots fired unclear if inj",0,0
"Missouri","Unknown",NA,0,2
"Texas","Unknown","result of fight",1,0
"California","Unknown",NA,0,0
"Kentucky","Unknown","shots fired into occupied home nearly hit child inside",0,0
"Pennsylvania","Unknown",NA,0,0
"New York","Handgun","gun stolen from car, found by child, reported stolen and recover later in day where dropped",0,0
"Virginia","Unknown","12 defendants, part o f United Blood Nation gang",0,0
"New Jersey","Unknown","39.932834, -75.122243 ;",1,0
"Wisconsin","Unknown",NA,1,0
"North Carolina","Unknown","west Charlotte, man fired shots at car in road-rage incident",0,0
"Illinois","Mag","1 of 2 drug arrest suspects charged when 2 handguns, 1 reported stolen, found in search; magazines, ammunition recovered;
42.042821, -87.705354 ;",0,0
"Kansas","Unknown",NA,0,1
"New York","Handgun","Gun stolen from owner and found on lawn",0,0
"Maryland","Unknown",NA,0,1
"Louisiana","Unknown",NA,1,0
"Kentucky","Unknown",NA,0,1
"Kentucky","Handgun","Jefferson Co Sheriff’s Deputy starting off-duty job at grocery accidentally shot himself in parking lot when his off-duty gun discharged as he put it in holster",0,1
"Illinois","Unknown","Man fired shots at car driving slowly in front of house; poss shootout; 2 guns recovered, no FOID card;
40.710354, -89.583949 ;",0,0
"Louisiana","Unknown",NA,0,1
"Colorado","Handgun","38.985398, -104.768156 ;",0,0
"New York","Unknown","near Knickbocker M train station, vic bystander to shootout between bikes and car, went to nearby Wyckoff Dr for help; suspect with TBO True Bosses Only gang",0,1
"Colorado","Unknown","Suspect brandished replica gun at officer; office shot suspect.",0,1
"Delaware","Handgun","Gun and drugs found during traffic stop",0,0
"Oregon","Unknown",NA,0,1
"California","Unknown",NA,0,1
"New York","Unknown",NA,0,1
"Arizona","Unknown",NA,0,1
"Arizona","Unknown",NA,0,1
"Texas","Unknown","29.707949, -95.483655 ;",1,2
"North Carolina","Unknown","Fort Bragg soldier shot her husband during domestic dispute at residence",0,1
"Pennsylvania","Unknown","1 k, 1 inj walking to car from tavern",1,1
"Texas","Handgun","Surrender date, incidents occurred between November 29, 2016, and February 2, 2017. Johnson was a baggage handler, stole numerous firearms from baggage.",0,0
"Texas","Unknown",NA,0,0
"New Hampshire","22 LR","42.976269, -71.450428 ;",0,0
"Tennessee","Unknown",NA,0,1
"California","Unknown",NA,0,1
"Louisiana","Unknown","cj;
29.960627, -90.080217 ;",0,0
"Connecticut","Unknown",NA,0,0
"Florida","Unknown","shot in ankle, near Edison Park school, brief lockdown",0,1
"Florida","Unknown","gun report stolen in home break in, DATE LOG PUB",0,0
"Florida","Handgun","arrest with Glock 23 40 cal, DATE LOG PUB",0,0
"Kentucky","Unknown","argument over grow operation",0,1
"Florida","Handgun","Glock 22 40 cal report stolen from car, DATE LOG PUB",0,0
"California","Handgun",NA,0,0
"Florida","Unknown","shots fired unclear if inj approx 5:30 PM",0,0
"Florida","Unknown","shots fired unclear if inj approx 4:15 PM",0,0
"Wisconsin","Unknown","shotspotter, unclear if inj approx 3:45 PM",0,0
"California","Unknown","Homeowner fatally shot 1 HI suspect, detained teenager; 1 other M and 1F suspects fled; possible rel. to Modesto area AR 30 mins prior",1,0
"California","Unknown","perp tried to burn down victim's house",0,0
"California","Unknown",NA,0,1
"California","Unknown",NA,0,0
"California","Unknown",NA,1,1
"Wisconsin","Unknown","shots report, unable to locate complainant, approx 5:45 PM",0,0
"District of Columbia","Unknown","Succumbed to her injuries 7/21/2017.",1,0
"North Carolina","Unknown","northeast Charlotte, woman shot at motel;
35.280841, -80.790608 ;",0,1
"District of Columbia","Unknown","shots fired unclear if inj",0,0
"Louisiana","Unknown","1 killed. father kills son domestic violence",1,0
"Illinois","Shotgun","Sentenced/ 20 yrs, felon/ shotgun;",0,0
"Texas","Unknown","1 inj Witnesses and victim being uncooperative.",0,1
"Massachusetts","Unknown","Drugs and gun found during warrant search; no FOID card, serial # defaced",0,0
"Louisiana","Unknown",NA,1,0
"Indiana","Unknown","Woman and adult daughter PW during HI;
39.789579, -85.990378 ;",0,2
"Texas","Shotgun","1 inj Shooting follows argument. Witnesses being uncooperative.",0,1
"Texas","Unknown","Kidnapping.",0,0
"Arkansas","Unknown",NA,0,1
"Tennessee","Unknown","man fired shot in direction of his wife and her sister after fight in house;
36.605641, -87.344430 ;",0,0
"Georgia","Unknown",NA,0,1
"New Jersey","Auto","380 cal handgun",0,0
"Georgia","Unknown",NA,0,0
"Oklahoma","22 LR","Love Co, near I35, friends target shooting, drop 22 cal pistol, AD shot vic in mouth",0,1
"Kentucky","Unknown","Russell neighborhood near S 10th St, one man dead and another man shot;
38.248753, -85.768175 ;",1,1
"California","Unknown","near train track, shot in abdomen, male gang member",0,2
"Arkansas","Unknown",NA,0,1
"Georgia","Unknown",NA,2,0
"Alabama","Handgun","Unit 2, contractor with derringer in building",0,0
"Illinois","Unknown","Back, good; shooter got out of vehicle to fire at victim in van;",0,1
"Massachusetts","Handgun","CCP Security Guard pw, threat vic with gun, physical assault, badge, stun gun, fogger, 40 cal, Ruger SR40, license seized",0,1
"Arkansas","Shotgun","Student brought antique shotgun to school for class project",0,0
"Ohio","Handgun","respond to car crash, DUI, Ruger 9mm in glovebox;
41.024439, -80.672315",0,0
"Pennsylvania","Unknown","12:15am on Valley Park Road South at the complex just southwest of the Route 22-Route 378 interchange.;
40.641384, -75.412140 ;",0,2
"Connecticut","Unknown",NA,0,1
"Kentucky","Unknown","teen mom shielding baby in backseat, hit by shots fired at car after fender bender near liquor store;
38.262801, -85.816658 ;",0,1
"California","Unknown","drugs, cash, body armor, ammo, at least 20 guns, raids on gang members",0,0
"Florida","Unknown","Vic Wilson shot and arrested; poss shootout w/deceased victim",1,1
"Washington","Unknown",NA,1,0
"South Carolina","Unknown",NA,0,0
"Oregon","Unknown",NA,0,0
"Massachusetts","Mag","respond to physical dv, seize drugs, cash, ammo, 357 revolver, 9mm handgun, 9mm rifle",0,0
"South Carolina","Unknown",NA,1,0
"Arizona","Unknown",NA,1,0
"Alabama","Unknown",NA,0,0
"Louisiana","Unknown","1 inj",0,1
"Alabama","Unknown",NA,1,0
"Nebraska","Unknown",NA,0,1
"Pennsylvania","Unknown",NA,0,0
"Missouri","Unknown",NA,0,0
"Missouri","Handgun","poss result of argument",1,0
"Arkansas","Unknown",NA,0,0
"Virginia","Unknown","Varina High School student shot and killed",1,0
"Texas","Unknown","Brandishing.",0,0
"Texas","Unknown","3 killed. Tarrant Co, domestic violence, double murder suicide, shot ex and new boyfriend then self.",3,0
"Louisiana","Unknown","1 killed. suicide",1,0
"Louisiana","Unknown","1 inj",0,1
"Louisiana","Unknown","1 inj self-defense hi",0,1
"Michigan","Unknown",NA,0,0
"South Carolina","Unknown",NA,0,0
"Massachusetts","Unknown",NA,0,1
"Georgia","Unknown",NA,0,1
"Alabama","Unknown",NA,0,1
"Texas","Unknown","1 killed ar;
29.987792, -95.500436 ;",1,0
"Minnesota","22 LR","Incident date approximate; theft reported on 4/2.;
46.354653, -94.297369 ;",0,0
"Tennessee","Unknown","30 mins apart",0,2
"New Mexico","Unknown",NA,0,1
"Illinois","Unknown","Man impersonating police officer also chg'd w/ no FOID card;
40.133909, -87.636311 ;",0,0
"Illinois","Unknown","Rptd guns stolen Apr 2016; false report; investigation found subj. was straw buyer & gave guns to felon",0,0
"North Carolina","Unknown","at Chandler Ave, hair salon hit by shots fired from vehicle, at least one vehicle in parking lot also hit",0,0
"Ohio","Handgun","Baby found in apartment w/ passed out man, 1 handgun, 2 rifles, 1 grip pump shotgun, marijuana;",0,0
"Missouri","Unknown","38.717222, -90.260681",0,0
"North Carolina","Unknown","AR",0,0
"Ohio","Unknown",NA,0,2
"North Carolina","Unknown","shot fired during robbery",0,0
"District of Columbia","Unknown",NA,0,2
"District of Columbia","Unknown",NA,0,2
"District of Columbia","Unknown","arrive at hosp on own",0,1
"Minnesota","Unknown","robbed family at gunpoint",0,0
"Minnesota","Auto","ID, gun lock, Ruger 380 stolen from Hastings officer, used in Minnetonka shooting next day, unclear if suspect in shooting also stole gun",0,0
"California","Unknown",NA,0,1
"Nevada","Unknown","traffic stop shootout with ofc incl gang member",1,2
"Nevada","Unknown","suspect detained but not arrested;
36.263134, -115.253667 ;",0,0
"Florida","Handgun","result of fight across from bar, threat with 9mm",0,0
"Florida","Unknown",NA,0,1
"Texas","Handgun","stem from ar, init confrontation, officer fire when threat, no inj, suspect surrender, 3rd suspect getaway driver, handgun found",0,0
"Texas","Unknown","found in room, self inflict gunshot",1,0
"Minnesota","Unknown","Suspect shot roommate in face.;
45.013902, -93.234584 ;",0,1
"Iowa","Unknown","Apparent suicide by gunshot in parking lot.",1,0
"Pennsylvania","Unknown",NA,0,0
"Illinois","Unknown","Drug bust finds 2 stolen gun, 3rd stolen gun found at assoc. address;
41.926820, -88.744965 ;",0,0
"New Mexico","Unknown",NA,0,0
"Texas","AR-15",NA,0,0
"District of Columbia","Unknown",NA,0,2
"South Carolina","Unknown",NA,0,0
"Florida","Unknown","shot in leg, hand",0,2
"Florida","Unknown","shooting report, unclear if inj",0,0
"Florida","Handgun","Magnolia Gardens, near Brooklyn Rd, near club, multiple suspects in shootout",0,0
"Vermont","Unknown","AD shot self, found at Porter Hospital",0,1
"Illinois","Handgun","Felon found in possession of .40 cal. Beretta, drugs; plead guilty, armed habitual criminal, 12 yrs;
38.916905, -90.173303 ;",0,0
"Florida","Unknown","shots fired, car damage only",0,0
"Missouri","Unknown",NA,0,1
"Florida","Handgun","Orange Co, near Lee Vista, shot wife and adult son, threat teen son with semiauto pistol, alleged SD",2,0
"Texas","Handgun","1 killed. Shooting follows argument.;
32.695222, -96.772280 ;",1,0
"Florida","Unknown","Flagler Co, drugs, stolen gun",0,0
"New Jersey","Unknown",NA,1,0
"Ohio","Handgun","drugs, ammo, 380 cal, 40 cal",0,0
"Georgia","Unknown","2 guns report stolen between 2/25 and 3/2, poss teen worker",0,0
"Pennsylvania","Unknown","boy brought gun to school and gave it to other boy; gun missing;
39.915993, -75.278604 ;",0,0
"Georgia","Unknown",NA,1,1
"Ohio","Unknown","Traffic stop;
41.024441, -80.672348",0,0
"Florida","Unknown","pw and robbed with BB gun, approx location",0,1
"Mississippi","Unknown",NA,1,0
"Georgia","Shotgun","compound bow, guns report stolen from home incl H&R 410 shotgun, Marlin 22 rifle, Fox River 50 cal muzzleloader, dis-assembled shotgun",0,0
"Connecticut","Handgun","38 revolver",0,0
"Texas","Unknown","Drug involvement. Some of the suspects arrested in raid in Mar. 2, 2017 El Paso raid at the 12000 block of Costa Brava.",0,0
"California","Unknown",NA,0,2
"Delaware","Handgun","Sussex Co, drugs, stolen handgun",0,0
"West Virginia","Shotgun","Plead guilty March 2, 2017. Incident was in Berkeley County, West Virginia in May 2016.",0,0
"Colorado","Unknown",NA,0,0
"Ohio","Handgun","drugs, 9mm",0,0
"Maryland","Unknown","attempt to trade guns for drugs, 5 long guns seized",0,0
"Florida","Unknown","shots fired at U.S. Postal Service Letter Carrier",0,0
"New Jersey","Unknown","student found with gun during routine security screening",0,0
"Massachusetts","Unknown","3 homes damaged by gunfire; witness intimidation. Victims are witnesses for 2015 murder of Jeffrey Sylvia Jr. in New Bedford",0,0
"Massachusetts","Unknown","He and a 16yo originally arrested because believed to be connected to shooting on street around same time; found to be unrelated but 15yo held on possess",0,0
"Florida","Handgun","drugs, cash, at least 3 handguns",0,0
"South Carolina","Unknown","shots fired into home",0,0
"Illinois","Unknown","Back, good;",0,1
"Rhode Island","Unknown","41.806074, -71.419856 ;",0,1
"Illinois","Unknown","Head, critical;",0,1
"Pennsylvania","Mag","respond to shots fired, 2 men leaving bar with stolen 357, drugs",0,0
"California","Unknown","armed with baseball bat",1,0
"Louisiana","Unknown","1 inj",0,1
"Maryland","Unknown","Prince Georges Co, apt; poss shot after argument between neighbors;
38.841090, -76.884052",1,0
"South Carolina","Unknown","local business owner shot at home",1,0
"Louisiana","Unknown","1 killed.",1,0
"Illinois","Unknown","Shotspotter alerts to shot fired at golf course",0,0
"Missouri","Unknown",NA,1,0
"Ohio","Handgun",NA,0,0
"Maryland","Unknown","apt near school",1,0
"Illinois","Unknown","Leg;",0,1
"Florida","22 LR","parking lot, unspec fast food restaurant, drugs, 22 cal handgun, attempt to sell",0,0
"Indiana","Unknown","Just north of Western Ave; LEO responded to ShotSpotter call; vic arrived at hospital separately.",0,1
"Virginia","Unknown","shots fired hit two occupied homes, car also hit",0,0
"Florida","Handgun","Suwanee Co, held 6 vics at gunpoint incl potential buyers, realtors, and inspectors until cops arrive",0,0
"Minnesota","AR-15",NA,0,0
"Kentucky","Unknown",NA,0,2
"Virginia","Unknown","woman shot inside home",0,1
"Florida","Shotgun","point shotgun at head, shot in groin, dispute over money",0,1
"Wisconsin","Unknown","44.916154, -89.644387 ;",1,0
"Florida","Unknown","burglar fired shots at postal worker witness ar",0,0
"California","Unknown",NA,1,1
"California",NA,"2 students arrested after ammunition found, no gun",0,0
"Texas","Unknown",NA,0,0
"Nebraska","Unknown","Suspect accidentally shot self during altercation with brother; brother fought back without a weapon.",0,1
"Alaska","Unknown","60.487535, -151.072206 ;",1,0
"Indiana","Unknown","Man fires gun at rescue mission; in custody after short standoff;",0,0
"Texas","Unknown","Several guns stolen from pawn shop.",0,0
"California","Unknown",NA,0,0
"Virginia","Unknown","south Richmond near McGuire Veterans Hospital, one shot",0,1
"Arizona","Unknown","fired shots at unmarked police car, shots exchange, suspect inj, arrest after chase on I17, nearby schools lockdown",0,1
"New York","Unknown","Erie Co, drugs 2 guns incl 1 stolen",0,0
"Pennsylvania","Unknown","chase from Lytle St, teen with gun stolen from Butler Co",0,0
"Mississippi","Unknown",NA,0,1
"North Carolina","Unknown","Officer gun AD during drug raid, poss when suspect attempt to take officer gun, no inj",0,0
"Nebraska","Shotgun","Madison Co, drugs, at least 20 guns, incl 3 sawed off shotguns, stolen items seized, arrest 3/13",0,0
"Kentucky","Unknown",NA,0,0
"North Carolina","Handgun","drugs and .38 caliber revolver which found within children's reach in home, .380 semi-automatic handgun also found",0,0
"Washington","Unknown","near REI HQ, shot while driving",0,1
"Connecticut","Unknown","stolen car led to 2 guns recover",0,0
"California","Unknown",NA,0,1
"Missouri","Unknown",NA,0,0
"Georgia","Unknown",NA,1,0
"Florida","Handgun","suicidal student with gun on campus, lockdown, confiscated by teacher",0,0
"Mississippi","Unknown",NA,0,1
"Alabama","Unknown",NA,0,1
"Oklahoma","Unknown","shot wife then self, attempt murder suicide",1,1
"Arkansas","Unknown","AD shot in neck",0,1
"Pennsylvania","Unknown","vic shot in chest in boyfriend home, poss mistaken ID as burglar by 1 of 3 males present",0,1
"Indiana","Unknown","2 men looking for drugs and cash, not found. Female resident uninjured; gun stolen from home.",0,0
"Minnesota","Auto","shot in head, suspect arrest soonafter in wooded area on Crane Rd, used gun stolen from officer prior day",1,0
"Arizona","Rifle","near Ironwood, 6 high power rifles stolen",0,0
"Florida","Unknown","student with gun",0,0
"Kansas","Unknown","38.992668, -95.666735 ;",0,2
"Kentucky","Unknown",NA,1,0
"Oklahoma","Unknown",NA,0,1
"Colorado","Unknown","threat man and woman in home with gun, 2 guns recover in home and suspect nearby car",0,0
"Pennsylvania","Unknown","Lower Paxton Twp, threat cars, threat ofc, surrender, mental eval",0,0
"Oklahoma","22 LR",NA,0,0
"Alabama","Unknown",NA,0,1
"California","Mag",NA,0,0
"Ohio","Unknown",NA,0,0
"Missouri","Unknown",NA,0,0
"Georgia","Unknown",NA,0,0
"Pennsylvania","Other","39.997435, -76.355950 ;",0,0
"Oregon","Unknown",NA,0,0
"West Virginia","Unknown","teenager shot",0,1
"Virginia","Rifle","Target shooting with almost new Springfield M1A;
36.999049, -78.387084 ;",0,1
"Georgia","Unknown",NA,1,0
"North Carolina","Handgun","man with crowbar shot when he came another man after fight started inside sports bar moved outside",0,1
"California","Unknown","gang member with drugs, gun, children present, 3rd suspect on non gun charges",0,0
"Louisiana","Unknown","1 inj db",0,1
"Kansas","Handgun","7hr standoff w/LEO; woman fired at officers, no inj.",0,0
"Florida","Unknown","shot father over money dispute, SD claims",0,1
"Wisconsin","Handgun","drugs, loaded handgun",0,0
"Indiana","Handgun","Warrant bust finds 4 guns, marijuana, cocaine, heroin, $22.000 cash;",0,0
"Nevada","Unknown",NA,1,0
"North Carolina","Unknown","man shot at apartment complex",0,1
"California","Unknown",NA,0,1
"Louisiana","Unknown","Aggravated assault with a firearm.",0,0
"Kansas","Handgun","37.663284, -97.293117 ;",1,0
"Maryland","Auto","drugs, 3 guns incl 45 cal, 22 cal, 9mm",0,0
"California","Unknown",NA,0,5
"New York","Shotgun","41.641589, -74.704596 ;",0,0
"New York","22 LR","West Brighton, threat vic with 22 cal implied in pocket, arrest with gun in waistband, 2nd suspect with knife",0,0
"California","Unknown","ALT: Fresno, near Tachi Palace Hotel & Casino, officer shot suspect after threat with gun;
36.233295, -119.761911",1,0
"Alabama","Handgun","undercover drug sting, 2 other for non gun charges, 3 pistols",0,0
"Pennsylvania","Handgun","escalated fight, 3 customers and bartender shot",0,4
"Louisiana","Unknown","shot in leg",0,1
"Kentucky","Unknown","home address, DTF, ATF raid, drugs, stolen items, multiple guns incl at least 1 stolen",0,0
"Georgia","Unknown",NA,0,0
"North Carolina","Handgun","traffic stop, approx location, drugs, handgun",0,0
"Indiana","Unknown","student with stolen gun in car on campus",0,0
"Louisiana","Unknown","Suspect takes officer's gun and fires it.",0,0
"Illinois","Handgun","Gun found in drug bust;",0,0
"Tennessee","Unknown","man shot and killed when he opened door of his home",1,0
"Tennessee","Unknown","Whitehaven, one shot",0,1
"Mississippi","Unknown",NA,1,1
"Arkansas","Unknown",NA,0,1
"Nevada","Unknown",NA,0,1
"Texas","Unknown","1 killed.;
32.546777, -94.380031 ;",1,0
"Colorado","Unknown","39.462569, -103.937491",0,0
"Texas","Unknown","shot in vehicle, gunman on foot",0,1
"Georgia","Unknown",NA,1,0
"Texas","Handgun","drugs, cash, HiPoint semiauto pistol",0,0
"Wisconsin","Unknown","shotspotter approx 9:30 PM",0,0
"Wisconsin","Unknown","shots fired unclear if inj approx 9:30 PM",0,0
"Colorado","Unknown","hostage situation, SWAT standoff, suspect shot, at least 1 male hostage",1,0
"Ohio","AR-15",NA,0,0
"District of Columbia","Unknown","shots fired unclear if inj",0,0
"Alabama","Unknown","33.506045, -86.870090 ;",1,0
"Illinois","Unknown","Shot while walking, rt. leg, stable;",0,1
"Mississippi","Unknown",NA,0,1
"Arizona","Unknown","armed robbery during drug deal led to shooting;
35.213804, -111.623204 ;",1,1
"Indiana","Mag","Child removed from home during warrant search which found heroin, 2 guns",0,0
"New Mexico","Handgun",NA,0,0
"District of Columbia","Unknown","shot fired, unclear if inj",0,0
"Maryland","Unknown","anon tip, student with gun",0,0
"Louisiana","Unknown","1 inj Member of victim's girlfriend's family shoots him following an argument.",0,1
"Colorado","Unknown","parking lot, gun in holster slid down leg, AD when hit ground, female vic hit in ankle",0,1
"Alabama","Unknown",NA,1,0
"Indiana","Unknown","Starke Co, arrest at Springhill Suites in Mishawaka",1,0
"Texas","Rifle","Drug involvement.",0,0
"New York","Unknown",NA,0,0
"Maryland","Unknown","Prince Georges Co, Slye and Stokes knew each other.;
38.848994, -76.912873 ;",1,0
"Missouri","Unknown","near Carnegie",1,0
"South Dakota","Unknown","stolen PT Cruiser ram police car, officer fire at vehicle, suspect surrender",0,0
"Connecticut","Unknown","unspec gas station near Ansonia line, stolen jewelry and gun from prior day",0,0
"Pennsylvania","Unknown","School bus struck by 8 bullets, 2 kids and driver on bus. Bystander shot in ear.",0,1
"South Carolina","Auto","Georgetown Co, drugs, ammo, 32 cal revolver",0,0
"Illinois","Unknown","Vic reported he was shot after arguing w/2 males; investigation proved it was self-inf AD;
41.968346, -87.721177 ;",0,1
"Arkansas","Unknown","found shot in Cadillac",1,0
"New Jersey","Unknown","40.747560, -74.190602 ;",0,0
"Illinois","Unknown","Walk-up shooter hits boy twice, chest, once, leg; serious; man hit leg, twice in hand, stable;
41.880016, -87.742807 ;",0,2
"Washington","Unknown","db, shot in face, vic bystander, 22 cal and 40 cal casings found",1,0
"Pennsylvania","Shotgun","Suicide location 12 miles away in Phillipsburg",2,0
"Minnesota","Handgun","init report shot by another man in arm, actually AD self inflict with revolver, charge with false info, reckless discharge",0,1
"North Carolina","Unknown",NA,0,1
"Indiana","Unknown","drugs, cash, 2 guns",0,0
"Florida","Unknown","shots fired unclear if inj, unclear if 2 incidents same at approx 8 PM and 7 PM",0,0
"Florida","Unknown","shots fired unclear if inj approx 7:30 PM",0,0
"Florida","Unknown","shots fired unclear if inj approx 7:15 PM",0,0
"Florida","Unknown","shots fired unclear if inj approx 7 PM",0,0
"Florida","Unknown","shots fired unclear if inj approx 5:15 PM",0,0
"Michigan","Unknown","1 inj Victim shoots suspect who was trying to steal his car.;
42.506283, -83.028570 ;",0,1
"Florida","Unknown","shots fired unclear if inj approx 4 PM",0,0
"Wisconsin","Unknown","shots fired unable to locate complainant, approx 7:45 PM",0,0
"Wisconsin","Unknown","shots fired unclear if inj approx 7:30 PM",0,0
"New York","Shotgun","threat stepson with sawed off shotgun",0,0
"New York","22 LR","67th Pct",0,0
"Alabama","Rifle","student with rifle in car",0,0
"Missouri","Unknown","shot multiple times, LOCATION FOUND, poss occur near Mulberry;
38.744081, -90.325335",1,0
"Florida","Unknown","shots fired at person, unclear if inj approx 2:30 PM",0,0
"Missouri","Unknown",NA,0,0
"New Mexico","Handgun","Incident took place near Ohkay Casino Resort Hotel;
36.036116, -106.062969 ;",0,0
"Kansas","Unknown",NA,0,1
"Louisiana","Unknown",NA,1,0
"Oregon","Unknown",NA,0,0
"Wyoming","Handgun",NA,0,0
"Florida","Unknown","shot while driving, drove self to hosp",0,1
"Arkansas","Unknown","Pope Co, poss attempt m/s;
35.335518, -92.919547 ;",1,1
"New York","Handgun",NA,0,0
"Florida","Unknown","Indian River Co, suicide attempt",0,1
"Ohio","Unknown","Man in mask jumped counter and pointed gun at employees, but didn't steal anything",0,0
"Texas","Handgun","dv",0,0
"Texas","Unknown",NA,0,0
"California","Unknown",NA,0,0
"Arkansas","Unknown","LOCATION FOUND, shot in shoulder, poss AD",0,1
"Georgia","Unknown",NA,0,1
"Pennsylvania","Handgun","AD shot self while trying to put pistol in pants",0,1
"Washington","Unknown","Sikh man shot in arm, poss hate crime",0,1
"Florida","Unknown","shot multiple times in abdomen",0,1
"Florida","Unknown","Vet with PTSD fired shots, peaceful surrender, no inj, mental eval",0,0
"North Dakota","Unknown","fired gun inside trailer and hit neighboring trailer",0,0
"Florida","Unknown","Lee Co, threat driver with gun, DATE REPORT",0,0
"Florida","Unknown",NA,0,2
"Georgia","Unknown",NA,0,1
"South Carolina","Unknown",NA,0,0
